1,1,12,4,1,0,5
2,1,12,4,2,0,5
3,1,12,4,3,1,5
4,1,10,none,1,0,8
5,1,10,none,2,0,8
6,1,10,3,3,1,8
7,1,11,none,1,0,2
8,1,11,none,2,0,2
9,1,11,none,3,1,2
10,1,7,none,1,0,5
11,1,7,none,2,0,5
12,1,7,3,3,1,9
13,1,7,4,1,0,3
14,1,7,4,2,0,10
15,1,7,4,3,1,10
16,1,1,3,1,0,3
17,1,1,3,2,0,3
18,1,1,3,3,1,3
19,1,1,none,1,0,7
20,1,1,none,2,1,3
21,1,1,3,1,0,3
22,1,1,3,2,1,3
23,1,4,none,1,0,7
24,1,4,none,2,1,7
25,1,13,none,2,0,10
26,1,13,none,3,1,10
27,1,5,none,1,0,10
28,1,5,none,2,1,10
29,1,4,none,1,0,2
30,1,4,none,2,0,2
31,1,4,5,3,1,2
32,1,4,none,1,0,7
33,1,4,none,2,0,7
34,1,4,5,3,1,7
35,1,18,none,2,0,6
36,1,18,none,3,1,6
37,1,10,none,1,0,3
38,1,10,none,2,1,10
39,1,1,18,2,0,6
40,1,1,18,3,1,6
41,1,4,3,1,0,7
42,1,4,3,2,0,7
43,1,12,4,1,0,2
44,1,12,4,2,0,2
45,1,12,4,3,1,8
46,1,7,12,1,0,8
47,1,7,12,2,1,8
48,1,7,4,1,0,7
49,1,7,4,2,1,7
50,1,5,none,1,0,3
51,1,5,none,2,1,3
52,1,1,none,1,0,10
53,1,1,none,2,1,10
54,1,11,none,1,0,10
55,1,11,none,2,1,2
56,1,2,none,1,0,3
57,1,2,none,2,0,3
58,1,10,none,1,0,3
59,1,10,none,2,1,3
60,1,11,none,1,0,2
61,1,11,none,2,0,2
62,1,11,2,3,1,2
63,1,14,none,1,0,3
64,1,14,none,2,0,3
65,1,14,none,3,1,3
66,1,2,none,1,0,4
67,1,2,none,2,0,4
68,1,2,none,3,1,4
69,1,12,4,1,0,5
70,1,12,4,2,0,5
71,1,12,4,3,1,5
72,1,11,4,1,0,2
73,1,11,4,2,1,2
74,1,6,5,1,0,3
75,1,6,5,2,0,3
76,1,6,5,3,1,3
77,1,10,none,1,0,10
78,1,10,none,2,1,10
79,1,11,14,1,0,6
80,1,11,14,2,1,6
81,1,13,9,1,0,4
82,1,13,9,2,0,4
83,1,1,3,1,0,3
84,1,1,3,1,0,3
85,1,1,3,2,1,3
86,1,11,none,1,0,9
87,1,11,15,2,1,9
88,1,4,none,1,0,7
89,1,4,none,2,1,7
90,1,11,none,1,0,7
91,1,11,15,2,1,7
92,1,8,4,1,0,7
93,1,8,4,2,0,7
94,1,8,4,3,1,7
95,1,6,5,1,0,4
96,1,14,none,1,0,10
97,1,14,none,2,1,10
98,1,11,none,1,0,8
99,1,11,none,2,1,8
100,1,13,none,1,0,8
101,1,13,none,2,1,8
102,1,12,14,1,0,6
103,1,12,14,2,1,10
104,1,5,none,1,0,3
105,1,5,none,2,1,3
106,1,2,none,2,1,3
107,1,2,none,2,1,3
108,1,1,none,1,0,6
109,1,4,none,1,0,7
110,1,4,none,2,1,7
111,1,5,6,1,0,4
112,1,5,6,2,0,4
113,1,1,none,2,0,6
114,1,12,none,1,0,2
115,1,1,none,1,1,3
116,1,11,none,1,0,2
117,1,11,none,2,0,2
118,1,11,none,1,0,8
119,1,11,none,2,1,8
120,1,11,none,1,0,3
121,1,11,14,2,1,7
122,1,14,18,2,0,6
123,1,7,3,1,0,5
124,1,15,14,2,1,8
125,1,13,none,2,0,10
126,1,10,none,2,0,8
127,1,7,none,1,1,3
128,1,1,none,1,1,3
129,1,11,none,1,0,8
130,1,11,3,2,1,2
131,1,11,15,1,1,2
132,1,1,none,1,1,7
133,1,1,none,1,0,3
134,1,11,none,2,1,2
135,1,13,none,2,1,10
136,1,10,none,2,1,8
137,1,1,none,1,0,6
138,1,6,11,1,0,2
139,1,6,11,2,1,2
140,1,6,11,1,0,3
141,1,6,11,2,1,3
142,1,6,3,1,1,7
143,1,1,none,2,1,1
144,1,15,3,1,1,2
145,1,13,3,1,1,10
146,1,10,3,1,1,10
147,1,16,none,1,0,2
148,1,16,none,2,0,2
149,1,16,3,3,1,3
150,1,14,none,1,1,7
151,1,14,none,1,1,6
152,2,12,none,1,0,5
153,2,12,none,2,0,5
154,2,12,none,3,1,5
155,2,10,none,1,0,10
156,2,10,none,2,0,10
157,2,10,none,3,1,10
158,2,11,none,1,0,2
159,2,11,none,2,0,2
160,2,11,none,3,1,2
161,2,1,none,1,0,3
162,2,1,none,2,1,3
163,2,1,3,1,0,3
164,2,1,3,2,1,3
165,2,7,3,1,0,8
166,2,7,3,2,1,8
167,2,7,4,1,0,5
168,2,7,4,2,1,8
169,2,4,3,3,1,7
170,2,11,13,1,0,2
171,2,11,13,2,1,2
172,2,13,none,1,0,10
173,2,18,none,1,0,6
174,2,1,18,1,0,6
175,2,18,none,1,0,9
176,2,18,3,2,0,9
177,2,14,3,1,0,5
178,2,14,3,2,1,5
179,2,13,none,1,0,9
180,2,13,none,2,0,6
181,2,13,none,3,1,10
182,2,12,none,3,1,5
183,2,11,18,2,0,2
184,2,11,18,3,1,2
185,2,6,none,2,1,3
186,2,11,none,3,1,5
187,2,12,3,1,0,6
188,2,12,3,2,0,5
189,2,12,3,3,1,2
190,2,1,none,1,0,7
191,2,12,none,1,0,10
192,2,12,none,2,1,10
193,2,7,3,1,0,8
194,2,11,5,1,0,2
195,2,11,5,2,1,2
196,2,14,none,2,1,7
197,2,17,none,2,1,1
198,2,17,3,1,0,1
199,2,11,14,2,1,6
200,2,8,none,1,0,4
201,2,14,none,1,1,1
202,2,14,none,2,1,2
203,2,1,14,1,0,10
204,2,7,none,1,0,4
205,2,7,9,2,1,7
206,2,1,none,1,0,10
207,2,5,3,1,0,7
208,2,9,5,2,1,4
209,2,18,none,1,0,6
210,2,18,none,2,1,7
211,2,11,4,1,0,4
212,2,7,9,2,1,8
213,2,7,6,1,1,10
214,2,7,2,1,1,2
215,2,17,15,1,0,1
216,2,1,none,1,0,3
217,2,1,none,2,0,3
218,2,10,none,1,0,8
219,2,10,6,2,1,8
220,2,15,5,1,0,3
221,2,15,5,2,0,3
222,2,11,6,1,0,6
223,2,11,none,1,0,4
224,2,11,none,2,1,8
225,2,15,3,1,1,8
226,2,11,3,2,1,7
227,2,9,3,1,1,4
228,2,17,10,1,0,1
229,2,17,10,2,1,1
230,2,11,16,3,1,2
231,2,5,none,1,0,2
232,2,5,none,2,1,4
233,2,1,none,2,0,8
234,2,1,none,1,0,3
235,2,1,none,1,1,9
236,2,2,none,1,0,7
237,2,2,none,2,1,3
238,2,15,14,1,0,6
239,2,13,none,1,0,10
240,2,10,none,1,0,8
241,2,1,none,1,1,6
242,2,1,none,3,1,6
243,2,13,none,1,1,10
244,2,10,none,1,1,3
245,2,11,none,1,1,2
246,2,6,5,1,0,5
247,2,6,5,2,0,4
248,2,6,17,3,1,5
249,2,14,3,1,1,9
250,2,10,3,1,1,8
251,2,14,12,1,1,5
252,3,12,none,1,0,5
253,3,12,none,2,0,5
254,3,12,none,3,1,5
255,3,10,none,1,0,8
256,3,10,2,2,0,8
257,3,10,2,3,1,8
258,3,11,none,1,0,2
259,3,11,5,2,0,2
260,3,11,5,3,1,2
261,3,17,none,1,0,4
262,3,17,none,2,1,4
263,3,1,none,1,0,3
264,3,1,none,2,0,9
265,3,7,none,1,0,8
266,3,7,none,2,0,9
267,3,7,3,3,1,10
268,3,7,none,2,0,7
269,3,7,4,3,1,5
270,3,11,12,1,0,5
271,3,11,12,2,0,5
272,3,11,12,3,1,5
273,3,12,none,1,0,3
274,3,12,17,2,0,3
275,3,12,17,3,1,3
276,3,1,3,1,0,2
277,3,1,3,2,1,2
278,3,11,3,1,0,9
279,3,11,3,2,1,10
280,3,14,18,1,0,9
281,3,14,18,2,0,9
282,3,14,18,3,1,9
283,3,7,11,1,0,2
284,3,7,3,2,1,2
285,3,12,none,1,0,3
286,3,12,2,2,1,5
287,3,1,none,1,0,3
288,3,1,none,2,0,9
289,3,1,none,3,1,3
290,3,7,5,1,0,4
291,3,7,3,2,1,10
292,3,7,8,2,1,3
293,3,1,none,1,0,6
294,3,1,none,2,0,2
295,3,1,none,3,1,2
296,3,2,none,1,0,10
297,3,2,none,2,1,3
298,3,1,18,1,0,2
299,3,6,none,1,0,4
300,3,1,none,1,0,6
301,3,1,none,2,1,7
302,3,17,8,1,1,7
303,3,9,18,1,1,1
304,3,9,6,1,0,4
305,3,9,6,2,0,4
306,3,9,6,3,1,4
307,3,2,14,1,0,2
308,3,2,14,2,1,8
309,3,13,none,1,0,5
310,3,13,none,2,1,10
311,3,13,none,1,1,10
312,3,13,none,1,1,10
313,3,7,none,1,1,4
314,3,7,none,1,1,7
315,3,12,4,2,0,5
316,3,4,none,1,0,5
317,3,4,none,2,1,7
318,3,11,17,1,0,8
319,3,11,17,2,1,2
320,3,11,none,1,0,2
321,3,11,none,2,1,2
322,3,10,5,1,0,10
323,3,10,5,2,1,8
324,3,10,none,1,1,3
325,3,14,none,1,0,1
326,3,14,none,2,1,7
327,3,1,none,1,1,3
328,3,5,none,1,0,3
329,3,5,16,2,0,5
330,3,5,16,3,1,5
331,3,12,none,1,0,5
332,3,12,17,2,1,5
333,3,1,3,1,0,2
334,3,16,3,2,1,2
335,3,1,none,1,1,9
336,3,4,none,1,1,1
337,3,6,14,1,1,10
338,3,6,14,1,1,8
